"Dim 1","Dim 2","Dim 3","Dim 4","Dim 5"
"0.024741707",-0.412673057797916,-0.052156659764849,-0.447852171550565,2.11755322376364,4.91364297757725e-15
"0.077669903",-0.135066992344551,0.04999270536956,-0.84527502426383,0.458657887993783,-5.3839438732731e-15
"0.094081633",-0.0735100760395847,0.080690977360554,-1.02649331075247,-1.01917693835802,1.87082869338697
"0.11827957",-0.420168850463188,-2.10644139541678,1.12728997379389,-0.332984528338127,8.15650802183757e-15
"0.157526254",2.28988698250432,0.404040140549799,0.759276788964399,0.116986655764495,-3.82668782484347e-15
"0.168338109",-1.1749579298195,1.54318325454118,1.45954705456103,-0.321859362467746,-5.24477167133353e-15
"0.552805281",-0.0735100760395877,0.0806909773605367,-1.02649331075247,-1.01917693835802,-1.87082869338697
"Design_0",0.195826321636583,-0.257197209090197,-0.243257842426839,0.0536432270779578,8.57308436936709e-16
"Design_0.004297994",-1.1749579298195,1.54318325454118,1.45954705456103,-0.321859362467747,-5.09280010956223e-15
"Entertainment_0.004667445",2.28988698250432,0.404040140549798,0.759276788964402,0.116986655764494,-3.37768010459356e-15
"Entertainment_0.007069059",-0.412673057797914,-0.0521566597648491,-0.447852171550559,2.11755322376364,4.63692437791975e-15
"Entertainment_0.012169967",-0.0735100760395877,0.0806909773605367,-1.02649331075247,-1.01917693835802,-1.87082869338697
"Entertainment_0.019417476",-0.135066992344549,0.0499927053695592,-0.845275024263826,0.45865788799378,-5.83516060621554e-15
"Entertainment_0.021505376",-0.420168850463187,-2.10644139541678,1.12728997379389,-0.332984528338128,7.72269456697474e-15
"Entertainment_0.025714286",-0.0735100760395843,0.0806909773605537,-1.02649331075247,-1.01917693835802,1.87082869338697
"Entertainment_0.068051576",-1.1749579298195,1.54318325454118,1.45954705456103,-0.321859362467747,-5.09280010956223e-15
"0.070418706",-0.412673057797914,-0.0521566597648491,-0.447852171550559,2.11755322376364,4.63692437791975e-15
"0.142550143",-1.1749579298195,1.54318325454118,1.45954705456103,-0.321859362467747,-5.09280010956223e-15
"0.16460396",-0.0735100760395877,0.0806909773605367,-1.02649331075247,-1.01917693835802,-1.87082869338697
"0.233009709",-0.135066992344549,0.0499927053695592,-0.845275024263826,0.45865788799378,-5.83516060621554e-15
"0.243727599",-0.420168850463187,-2.10644139541678,1.12728997379389,-0.332984528338128,7.72269456697474e-15
"0.304550758",2.28988698250432,0.404040140549798,0.759276788964402,0.116986655764494,-3.37768010459356e-15
"0.356530612",-0.0735100760395843,0.0806909773605537,-1.02649331075247,-1.01917693835802,1.87082869338697
"Food_0",-1.1749579298195,1.54318325454118,1.45954705456103,-0.321859362467747,-5.09280010956223e-15
"Food_0.001856436",-0.0735100760395877,0.0806909773605367,-1.02649331075247,-1.01917693835802,-1.87082869338697
"Food_0.008168028",2.28988698250432,0.404040140549798,0.759276788964402,0.116986655764494,-3.37768010459356e-15
"Food_0.011836735",-0.0735100760395843,0.0806909773605537,-1.02649331075247,-1.01917693835802,1.87082869338697
"Food_0.016313214",-0.412673057797914,-0.0521566597648491,-0.447852171550559,2.11755322376364,4.63692437791975e-15
"Food_0.082437276",-0.420168850463187,-2.10644139541678,1.12728997379389,-0.332984528338128,7.72269456697474e-15
"Food_0.194174757",-0.135066992344549,0.0499927053695592,-0.845275024263826,0.45865788799378,-5.83516060621554e-15
"Gaming_0",-0.373943626408227,0.340480250973396,-0.377313352551659,0.0431995745147268,-9.04553541402549e-16
"Gaming_0.005834306",2.28988698250432,0.404040140549798,0.759276788964402,0.116986655764494,-3.37768010459356e-15
"Gaming_0.010752688",-0.420168850463187,-2.10644139541678,1.12728997379389,-0.332984528338128,7.72269456697474e-15
"General_0",-0.375442784941281,-0.0703766961569897,-0.0622849234827684,-0.446907975905626,-2.37834491771148e-16
"General_0.008168028",2.28988698250432,0.404040140549798,0.759276788964402,0.116986655764494,-3.37768010459356e-15
"General_0.011963023",-0.412673057797914,-0.0521566597648491,-0.447852171550559,2.11755322376364,4.63692437791975e-15
"0.080858086",-0.0735100760395877,0.0806909773605367,-1.02649331075247,-1.01917693835802,-1.87082869338697
"0.147024504",2.28988698250432,0.404040140549798,0.759276788964402,0.116986655764494,-3.37768010459356e-15
"0.252427184",-0.135066992344549,0.0499927053695592,-0.845275024263826,0.45865788799378,-5.83516060621554e-15
"0.354285714",-0.0735100760395843,0.0806909773605537,-1.02649331075247,-1.01917693835802,1.87082869338697
"0.372759857",-0.420168850463187,-2.10644139541678,1.12728997379389,-0.332984528338128,7.72269456697474e-15
