"Dim 1","Dim 2","Dim 3","Dim 4","Dim 5"
"1",-0.428141521506136,0.346687049019446,0.311360724775202,-0.388306369027353,-0.0482672477436306
"2",-0.626957223762149,0.0380472012195456,0.1916513526053,-0.176831658007995,0.0261821963008113
"3",-0.421909553979934,-0.0691129868539871,-0.0579925685520364,-0.204358205660601,0.0172665795400956
"4",-0.617471292499206,0.0663607920890911,-0.0701432703199751,-0.151562758209544,0.0170071196942932
"5",-0.626138630848541,0.0631774957486847,0.149498093111637,-0.136501969380525,-0.292997082095262
"6",-0.607465354650709,-0.119610408197617,0.425427663902984,0.272458827987392,0.36721204472374
"7",-0.522846749578829,0.0424483908761721,-0.173602576868978,-0.289329445084338,-0.287861868579097
"8",-0.431395485243176,-0.0974265777234501,0.203802054373544,-0.229627105458813,0.0264416561465351
"9",-0.331509552861249,-0.117283806249251,-0.0820591403569182,-0.350346240842735,-0.270429951054575
"10",-0.431395485242923,-0.0974265777234912,0.203802054373179,-0.229627105458994,0.0264416561465549
"11",-0.0287822029760767,0.41362220439702,0.106600028175349,-0.465272071434372,-0.176731253613348
"12",-0.522846749578879,0.0424483908761612,-0.173602576868962,-0.289329445084366,-0.287861868579092
"13",-0.0714690353774118,-0.354592591279673,0.246721641087274,0.33663240637105,-0.338866257370254
"14",-0.523665342492439,0.0173180963470327,-0.131449317375279,-0.329659133711766,0.0313174098169773
"15",0.0679278561035282,0.128354827666204,-0.0154485411606656,-0.493691300963964,0.0445109533314494
"16",-0.13269385060518,0.191356041550583,0.037650231813066,-0.561820951862175,-0.344879395099114
"17",0.00578183524300683,-0.0675669234598693,0.236773503149304,0.114388872352121,0.264807018157734
"18",0.0126225876956978,0.959220635226078,0.080837695597681,0.181129944536347,-0.0948175276114386
"19",0.352995754820942,0.105662243394567,0.493393309954822,-0.548130124949038,-0.0693354247815916
"20",0.1737142923239,-0.117050873676197,-0.659324975148336,0.319314222787827,-0.0531910879708524
"21",-0.488082543523489,0.119154579224466,-0.562415394678561,0.0216104110192016,0.115525436450755
"22",-0.626957223762221,0.0380472012195731,0.191651352605264,-0.176831658007983,0.0261821963008168
"23",-0.607465354650711,-0.119610408197651,0.425427663903002,0.27245882798758,0.367212044724061
"24",-0.562064194593313,0.00317639321469591,0.175286059709653,0.120737032481004,-0.0131789002705301
"25",-0.518398325029845,0.158313056982194,0.161020740358046,0.0747379833715114,-0.076279458580598
"26",-0.385478291494039,0.214026154873193,0.0224087364626826,-0.332939986774259,-0.396410281516106
"27",0.239085994170838,0.209439734722068,-0.275914932679384,-0.120807090833945,-0.0315230710486397
"28",-0.279274078432423,0.243459737778103,0.430488802513018,0.156428369732772,-0.198878701794468
"29",-0.326524832678761,0.141271067405234,0.331295846560259,-0.0447467952179831,-0.0268876482298879
"30",-0.682277888606759,0.159264817177247,0.130460154228616,-0.00944726554690852,0.615676190032009
"31",-0.178169647603018,0.0840437931933355,0.556618685350573,-0.184466873182627,-0.0531856099309689
"32",-0.523665342492514,0.0173180963470451,-0.131449317375291,-0.329659133711771,0.0313174098169672
"33",0.0575153708891047,-0.259964900590939,-0.536392596349591,0.0272704827965617,0.108166007372247
"34",0.165086023532051,0.302640611052981,0.407847667696143,0.104443833971813,-0.508922070308857
"35",0.256191973459933,-0.070309951204197,-0.470204851217911,0.0340544175353654,0.0691469931183989
"36",-0.522846749578824,0.042448390876181,-0.173602576868974,-0.289329445084331,-0.287861868579094
"37",-0.431395485242878,-0.0974265777234938,0.203802054373182,-0.229627105458991,0.02644165614655
"38",-0.607465354650712,-0.119610408197652,0.425427663903002,0.272458827987579,0.367212044724061
"39",-0.62613863084855,0.0631774957487221,0.149498093111579,-0.13650196938054,-0.292997082095242
"40",-0.522846749578824,0.042448390876181,-0.173602576868974,-0.289329445084331,-0.287861868579094
"41",-0.720763173768952,0.087089896961571,0.252957399660658,0.0012647174942239,0.0118719061782288
"42",-0.62613863084855,0.0631774957487221,0.149498093111579,-0.13650196938054,-0.292997082095242
"43",-0.607465354650712,-0.119610408197652,0.425427663903002,0.272458827987579,0.367212044724061
"44",-0.054341756948238,0.978183810019126,0.126551482343546,-0.30448608556223,-0.167560162880999
"45",0.138131493354894,-0.218887356553606,-0.228358897845063,-0.0319553219431371,-0.137399114604646
"46",-0.488082543523494,0.119154579224468,-0.562415394678561,0.0216104110192001,0.115525436450756
"47",0.29910600048571,0.592440151871056,-0.125243939124079,0.173125911421726,0.121666551999236
"48",-0.488082543523494,0.119154579224468,-0.562415394678561,0.0216104110192001,0.115525436450756
"49",-0.292520805004132,-0.016319199718611,-0.550264692910641,-0.0311850364318106,0.115784896296488
"50",-0.523665342492515,0.017318096347044,-0.131449317375291,-0.329659133711771,0.0313174098169669
"51",0.388651905434912,0.50419275455499,-0.432249850468728,0.0557243840085925,0.337016126007351
"52",0.0366005591735595,0.217630891430668,0.317587773285242,-0.0675942717404296,0.042487930154655
"53",-0.522846749578824,0.042448390876181,-0.173602576868974,-0.289329445084331,-0.287861868579094
"54",-0.626957223762241,0.0380472012195851,0.191651352605262,-0.17683165800798,0.0261821963008186
