Search Results,"(""capri-sun"" OR ""capri sun"") AND (""quality"" OR ""genuine"" OR ""authentic"" OR ""sophisticated"" OR ""novel"" OR ""young"" OR ""refreshing"" OR ""cool"" OR ""comforting"" OR ""relaxing"" OR ""fun"" OR ""good"" OR ""great"" OR ""tasty"" OR ""inspirational"" OR ""optimistic"" OR ""happy"" OR ""confident"" OR ""cynical"" OR ""ambitious"" OR ""selfish"" OR ""superstitious"" OR ""practical"" OR ""creative"" OR ""emotional"" OR ""stylish"" OR ""impulsive"" OR ""political"" OR ""responsible"" OR ""spiritual"") between 20-Mar-2013 and 18-Sep-2013 language=English in Twitter",19800 total results,Showing from 1 to 15000,,,,,,,,,,
,,,,,,,,,,,,,
host,link,time,auth,follower,following,age,gender,country,location,sentiment,contents,uniqueid,authname
http://twitter.com/z_lov,http://twitter.com/Z_Lov/statuses/369124719771283456,2013-08-18T15:52:45Z,4,169,214,,,,somewhere.,,RT @LifeAsStoner Its all fun and games until you realize your Capri Sun has no straw then shit gets real.,3.69125E+17,Zauriki
http://twitter.com/laurynbriana,http://twitter.com/LaurynBriana/statuses/369124709293510659,2013-08-18T15:52:43Z,4,273,408,,,,,,RT @ASAP_Joel4 Its all fun and games until you realize your Capri Sun has no straw then shit gets real.😱,3.69125E+17,LaurynYo∞♡
http://twitter.com/kirstyngeorge,http://twitter.com/KirstynGeorge/statuses/369124683053944832,2013-08-18T15:52:37Z,5,339,257,,,,,,“@LifeAsStoner: Its all fun and games until you realize your Capri Sun has no straw then shit gets real.”,3.69125E+17,Kirstyn George
http://twitter.com/fuzziekins,http://twitter.com/fuzziekins/statuses/369124680088555520,2013-08-18T15:52:36Z,4,190,98,,,US,"Cleveland, OH",,"""@LifeAsStoner: Its all fun and games until you realize your Capri Sun has no straw then shit gets real."" @skyidkpeace",3.69125E+17,karl-y
http://twitter.com/gi_fuk_wit_it,http://twitter.com/GI_Fuk_Wit_It/statuses/369124679375523840,2013-08-18T15:52:36Z,3,80,80,,,GI,GI,,“@LifeAsStoner: Its all fun and games until you realize your Capri Sun has no straw then shit gets real.”,3.69125E+17,GI™
http://twitter.com/niick_smith,http://twitter.com/Niick_Smith/statuses/369124661931417600,2013-08-18T15:52:32Z,3,101,93,,,,,,RT @LifeAsStoner Its all fun and games until you realize your Capri Sun has no straw then shit gets real.,3.69125E+17,Nick Smith
http://twitter.com/h13anissa,http://twitter.com/H13Anissa/statuses/369124639491895296,2013-08-18T15:52:26Z,3,78,122,,,,,,“@LifeAsStoner: Its all fun and games until you realize your Capri Sun has no straw then shit gets real.” 🙏😡,3.69125E+17,Anissa
http://twitter.com/andreav_rivas,http://twitter.com/andreav_rivas/statuses/369124636006830080,2013-08-18T15:52:25Z,4,147,145,,,,,,RT @melaanieyo “@LifeAsStoner: Its all fun and games until you realize your Capri Sun has no straw then shit gets real.”,3.69125E+17,Andrea ♡
http://twitter.com/thegreatcucci,http://twitter.com/thegreatcucci/statuses/369124631862452224,2013-08-18T15:52:24Z,4,277,397,,,US,"columbia, SC",,“@LifeAsStoner: Its all fun and games until you realize your Capri Sun has no straw then shit gets real.” 😳😂yess,3.69125E+17,Blake Colucci☤
http://twitter.com/babigirllexi_,http://twitter.com/Babigirllexi_/statuses/369124577458135041,2013-08-18T15:52:11Z,4,221,188,,,,,,“@LifeAsStoner: Its all fun and games until you realize your Capri Sun has no straw then shit gets real.”,3.69125E+17,✩ℒℰﾒⅈⅈ✩
http://twitter.com/asap_joel4,http://twitter.com/ASAP_Joel4/statuses/369124567790264322,2013-08-18T15:52:09Z,5,512,282,,,,,,Its all fun and games until you realize your Capri Sun has no straw then shit gets real.😱,3.69125E+17,iFollowBack✌ ™
http://twitter.com/etutfresh326,http://twitter.com/ETutFresh326/statuses/369124561620455425,2013-08-18T15:52:08Z,3,117,286,,,,,,RT @LifeAsStoner Its all fun and games until you realize your Capri Sun has no straw then shit gets real.,3.69125E+17,Mark Twain
http://twitter.com/__tayl0rgang,http://twitter.com/__tayl0rgang/statuses/369124546198007811,2013-08-18T15:52:04Z,4,165,301,,,,☯✨⚓❁,,RT @LifeAsStoner Its all fun and games until you realize your Capri Sun has no straw then shit gets real.,3.69125E+17,ｔａｙｌｏｒ ❁
http://twitter.com/allisonozzy25,http://twitter.com/allisonozzy25/statuses/369124530863611905,2013-08-18T15:52:00Z,4,179,173,,,,❁✞☹☯❁,,RT @LifeAsStoner Its all fun and games until you realize your Capri Sun has no straw then shit gets real.,3.69125E+17,allison
http://twitter.com/melaanieyo,http://twitter.com/melaanieyo/statuses/369124495719530497,2013-08-18T15:51:52Z,5,359,273,,,US,South Florida,,“@LifeAsStoner: Its all fun and games until you realize your Capri Sun has no straw then shit gets real.”,3.69124E+17,Mel
http://twitter.com/pprettyflacko_,http://twitter.com/pprettyflacko_/statuses/369124470012649472,2013-08-18T15:51:46Z,5,435,231,,,,,,RT @LifeAsStoner Its all fun and games until you realize your Capri Sun has no straw then shit gets real.,3.69124E+17,Breon Davis
http://twitter.com/delagarza420,http://twitter.com/DeLaGarza420/statuses/369124467827429376,2013-08-18T15:51:45Z,4,195,202,,,,,,RT @LifeAsStoner Its all fun and games until you realize your Capri Sun has no straw then shit gets real.,3.69124E+17,Aaron De La Garza
http://twitter.com/gnarasfvck,http://twitter.com/GnarAsFvck/statuses/369124454779334656,2013-08-18T15:51:42Z,4,102,235,,,,,,RT @LifeAsStoner Its all fun and games until you realize your Capri Sun has no straw then shit gets real.,3.69124E+17,☠I'mJustin☠
http://twitter.com/thenewkidink,http://twitter.com/thenewkidink/statuses/369124430733008896,2013-08-18T15:51:36Z,3,105,197,,,,,,RT @LifeAsStoner Its all fun and games until you realize your Capri Sun has no straw then shit gets real.,3.69124E+17,B.O.V
http://twitter.com/3murphybrandon,http://twitter.com/3murphybrandon/statuses/369124419639050240,2013-08-18T15:51:34Z,4,216,586,,,,,,RT @LifeAsStoner Its all fun and games until you realize your Capri Sun has no straw then shit gets real.,3.69124E+17,Brandon Murphy
http://twitter.com/lorr_fleetwood,http://twitter.com/Lorr_Fleetwood/statuses/369124379520933888,2013-08-18T15:51:24Z,5,380,247,,,US,"Joppa, MD",,RT @LifeAsStoner Its all fun and games until you realize your Capri Sun has no straw then shit gets real.,3.69124E+17,Tyler
http://twitter.com/magandapera,http://twitter.com/magandapera/statuses/369124377549234177,2013-08-18T15:51:24Z,6,1072,419,,,,,,RT @LifeAsStoner Its all fun and games until you realize your Capri Sun has no straw then shit gets real.,3.69124E+17,Kierst
http://twitter.com/lifeasstoner,http://twitter.com/LifeAsStoner/statuses/369124327821541378,2013-08-18T15:51:12Z,9,62916,324,,,,,,Its all fun and games until you realize your Capri Sun has no straw then shit gets real.,3.69124E+17,Life As A Stoner
http://twitter.com/madalanhoward,http://twitter.com/MadalanHoward/statuses/369120994742784000,2013-08-18T15:37:57Z,4,290,361,,,,,,RT @hannah_logan12 Why did anyone ever think that purses made out of Capri Sun pouches were cool? #weird,3.69121E+17,Madalan Patrick⚓
http://twitter.com/ambersmelser,http://twitter.com/ambersmelser/statuses/369098337124761600,2013-08-18T14:07:55Z,4,182,174,,,,,,“@hannah_logan12: Why did anyone ever think that purses made out of Capri Sun pouches were cool? #weird” guilty 🙋,3.69098E+17,Amber Smelser
http://twitter.com/krissawers,http://twitter.com/KrisSawers/statuses/369074917691510785,2013-08-18T12:34:52Z,5,435,386,,,,Paisley,,@Broganwilson1x haha! Ma day was all good half bottle in a Capri sun bottle x,3.69075E+17,Kris Sawers
http://twitter.com/lizzy_mads,http://twitter.com/lizzy_mads/statuses/369018855701487616,2013-08-18T08:52:05Z,2,25,95,,,,autumns going to b angry,,What’s your motto? — live fast die young drink Capri sun http://t.co/1nNBaBnci0,3.69019E+17,Maddy
http://twitter.com/pileofsalt,http://twitter.com/PileOfSalt/statuses/369014239672807424,2013-08-18T08:33:45Z,5,457,407,,,,"Here, there and everywhere.",,Which I  admittedly  consumed as well. #Again RT @Derped0 @PileOfSalt Not as cool as Capri Sun,3.69014E+17,Princess Saltlestia
http://twitter.com/derped0,http://twitter.com/Derped0/statuses/369013957454868480,2013-08-18T08:32:38Z,4,223,370,,,DE,"Germany, for now...",,@PileOfSalt Not as cool as Capri Sun,3.69014E+17,Derped
http://twitter.com/helgahysa,http://twitter.com/helgahysa/statuses/368992732695375872,2013-08-18T07:08:17Z,4,146,307,,,,,,@billyphilhower yeah but it's great haha you know you're doing it right when I spill capri sun all over myself from reading it so thanks 👌,3.68993E+17,Helga Hysa
http://twitter.com/hannah_logan12,http://twitter.com/hannah_logan12/statuses/368970088080101376,2013-08-18T05:38:18Z,3,89,77,,,US,Alabama,,Why did anyone ever think that purses made out of Capri Sun pouches were cool? #weird,3.6897E+17,Hannah Logan
http://twitter.com/smileesforyou,http://twitter.com/smileesforyou/statuses/368963022766632960,2013-08-18T05:10:14Z,3,92,171,,,,,,RT @essbee214 live fast die young drink capri sun,3.68963E+17,courtneysays
http://twitter.com/jakemillerflst,http://twitter.com/JakeMillerFLST/statuses/368960671691464704,2013-08-18T05:00:53Z,5,672,264,,,US,Florida,,Eating a frozen Capri sun before bed is never a good idea. I've never been so cold in my life,3.68961E+17,Jake Miller Florida
http://twitter.com/essbee214,http://twitter.com/essbee214/statuses/368959933837885440,2013-08-18T04:57:57Z,4,322,289,,,,,,live fast die young drink capri sun,3.6896E+17,sara beth clark
http://twitter.com/rev_short06,http://twitter.com/rev_short06/statuses/368932577710579712,2013-08-18T03:09:15Z,4,281,520,,,,Everywhere and nowhere,,Good night  everybody. Sweet dreams. Yes  I've been hitting the Capri Sun tonight.,3.68933E+17,Adam Short
http://twitter.com/mella_bella13,http://twitter.com/Mella_Bella13/statuses/368929948729225216,2013-08-18T02:58:48Z,3,32,175,,,US,California,,paxamericana: welcome to the friend zone. it’s a zone for friends. hang out  have fun  grab a capri sun.... http://t.co/LfQBe2BMQZ,3.6893E+17,Melanie Bell
http://twitter.com/inoshcookies,http://twitter.com/iNoshCookies/statuses/368925766668390400,2013-08-18T02:42:11Z,6,2026,1997,,,,loser land ⛺,,@iNoshCookies yeah I knowwww. Capri sun is good as well,3.68926E+17,â¼ â¾
http://twitter.com/ldames22,http://twitter.com/ldames22/statuses/368925174600462336,2013-08-18T02:39:50Z,4,241,481,,,US,conneaut,,RT @D_Zoolander89 It's all fun and games till you realize your Capri Sun doesn't have a straw,3.68925E+17,Logan
http://twitter.com/d_zoolander89,http://twitter.com/D_Zoolander89/statuses/368922746895343617,2013-08-18T02:30:11Z,2,45,90,,,,,,It's all fun and games till you realize your Capri Sun doesn't have a straw,3.68923E+17,Derek Showalter
http://twitter.com/ayy_tayyy03,http://twitter.com/Ayy_Tayyy03/statuses/368917095624351744,2013-08-18T02:07:44Z,5,427,266,,,US,New York,,Capri Sun is so good,3.68917E+17,Alyssa Taylor
http://twitter.com/tony__romo,http://twitter.com/Tony__Romo/statuses/368906872205479936,2013-08-18T01:27:07Z,4,228,60,,,,3-2-13 @cellaneousdad,,Cool Capri sun pouch and my snackoroonie http://t.co/smrl1uhs0O,3.68907E+17,Tony Romo
http://twitter.com/nikki_araiza12,http://twitter.com/nikki_araiza12/statuses/368905688728092672,2013-08-18T01:22:24Z,5,347,233,,,US,"Plano, TX",,Seeing little girls toast to Capri sun😂😂😂 they start young  man.,3.68906E+17,Nikki
http://twitter.com/_capri_sun,http://twitter.com/_Capri_Sun/statuses/368897417589956608,2013-08-18T00:49:32Z,4,129,113,,,,,,"""@gogetit_cier:   Ared twitter catch yall tuesday !"" Have fun!!!!",3.68897E+17,Yasmeen Capri
http://twitter.com/ana_hiiiii,http://twitter.com/Ana_hiiiii/statuses/368893125449641985,2013-08-18T00:32:29Z,5,426,406,,,US,illinois,,Live fast  die young  drink Capri sun :D,3.68893E+17,Anahi♡
http://twitter.com/lynnhegarty8,http://twitter.com/LynnHegarty8/statuses/368891801970548736,2013-08-18T00:27:13Z,4,227,309,,,,,,Still can't get over how good that capri sun was at 6 this morning #inlove,3.68892E+17,Lynn Hegarty
http://twitter.com/tongue_of_fun,http://twitter.com/Tongue_of_fun/statuses/368891481815146496,2013-08-18T00:25:57Z,4,283,1149,,,,Wherever the money is,,I think capri sun should make 2 liters. Those little juice pouches just don't cut it anymore.,3.68891E+17,Cash Money
http://twitter.com/_young_killaah,http://twitter.com/_young_killaah/statuses/368888348573593601,2013-08-18T00:13:30Z,4,443,888,,,MX,"Santa Fe, New Mexico",,Drinking a capri sun Juice box  so yea...im pretty much gangster...,3.68888E+17,â¡â¦~
http://twitter.com/musearelosers,http://twitter.com/musearelosers/statuses/368880189951844352,2013-08-17T23:41:05Z,5,487,268,,,GB,"England, yo",,you aren't LLOWED CAPRI SUN RHATS NOT COOL BRO IMMA B... — ty ty I always buy some at rugby training bc they sel... http://t.co/1SY3RpP7ne,3.6888E+17,Amber◕‿◕
http://twitter.com/sarahhababes,http://twitter.com/sarahhababes/statuses/368876422158225408,2013-08-17T23:26:07Z,5,295,260,,,,"515, 860.",,Some Capri Sun in my life & it's all good.,3.68876E+17,Sarah Ha
http://twitter.com/nelsoncarterjnr,http://twitter.com/NelsonCarterJnr/statuses/368862743517855744,2013-08-17T22:31:45Z,5,609,400,,,,Oucheah!,,@Asvpxshan you can't even be sipping them heavy drinks! Stay on Capri sun my young g,3.68863E+17,Obi
http://twitter.com/hodgeomatic,http://twitter.com/Hodgeomatic/statuses/368861993047834624,2013-08-17T22:28:46Z,4,157,300,,,GB,Newcastle,,@OriginalBlacky @poundapint Good effort! Yet to have a Capri sun in Central America like  might bust my virginity tonight.,3.68862E+17,Hodge
http://twitter.com/tillynash01,http://twitter.com/TillyNash01/statuses/368861669700939776,2013-08-17T22:27:29Z,4,205,151,,,,,,RT @YABOYLILB live fast die young drink capri sun,3.68862E+17,til~
http://twitter.com/marybartletttt,http://twitter.com/MaryBartletttt/statuses/368857960459796480,2013-08-17T22:12:45Z,4,310,360,,,GB,UK Reading,,RT @YABOYLILB live fast die young drink capri sun,3.68858E+17,mary
http://twitter.com/julesisback07,http://twitter.com/Julesisback07/statuses/368851636812136449,2013-08-17T21:47:37Z,5,944,912,,,,kent,,@TheDoormanDiary hahaha ☺Capri sun that's great,3.68852E+17,✨Jules ✨
http://twitter.com/bothun_kambia,http://twitter.com/bothun_kambia/statuses/368850875415920640,2013-08-17T21:44:36Z,3,123,178,,,,,,Capri Sun and childish fun.,3.68851E+17,Kambia Bothun
http://twitter.com/jord_beach5,http://twitter.com/jord_beach5/statuses/368849354422906881,2013-08-17T21:38:33Z,4,300,501,,,,warrington,,@EronLeaHyndman @ColemanMikey Mikey loves a good Capri sun,3.68849E+17,Jord Beach
http://twitter.com/itsshaniajones,http://twitter.com/itsshaniajones/statuses/368847997968596992,2013-08-17T21:33:10Z,4,201,211,,,,,,RT @YABOYLILB live fast die young drink capri sun,3.68848E+17,JONES
http://twitter.com/goonercharles,http://twitter.com/GoonerCharles/statuses/368846794329182208,2013-08-17T21:28:23Z,5,605,484,,,,In a pub wherever Arsenal are,,RT @AmandaGrant94 Love a good old Capri-Sun,3.68847E+17,Charlie Carver
http://twitter.com/amandagrant94,http://twitter.com/AmandaGrant94/statuses/368846162075209728,2013-08-17T21:25:52Z,5,395,524,,,IE,"Crumlin, Ireland.",,Love a good old Capri-Sun,3.68846E+17,Amanda-Rose Grant
http://twitter.com/curran5kerry,http://twitter.com/Curran5Kerry/statuses/368834509757624320,2013-08-17T20:39:34Z,4,314,522,,,,,,In chiper and your man gives me a free capri sun and talked to me like a child haha do i look that young?,3.68835E+17,Ms Kerry Coutinho
http://twitter.com/shann_anigan,http://twitter.com/SHANN_anigan/statuses/368833691872931840,2013-08-17T20:36:19Z,4,176,134,,,US,"Philadelphia, Pennsylvania",,RT @DannyTanner live fast die young drink capri sun,3.68834E+17,Shannnn
http://twitter.com/eddie_woo,http://twitter.com/Eddie_Woo/statuses/368821694829301760,2013-08-17T19:48:39Z,5,369,73,,,US,"Buffalo, NY",,Kids birthday partys seem fun  till your friend asks you to babysit the bounce house. I need another capri sun. http://t.co/mVUsjxdAkO,3.68822E+17,Eddie-Edge
http://twitter.com/sxeymoney,http://twitter.com/sxeymoney/statuses/368816509805527040,2013-08-17T19:28:02Z,6,868,696,,,,House of Slytherin.,,RT @YABOYLILB live fast die young drink capri sun,3.68817E+17,M S
http://twitter.com/sipmy_capri_sun,http://twitter.com/SipMy_Capri_Sun/statuses/368815842919583744,2013-08-17T19:25:23Z,5,499,508,,,,,,Live fast die young bad girls do it well 😏,3.68816E+17,❤Ace❤
http://twitter.com/taetrilly,http://twitter.com/TaeTrilly/statuses/368813806400458752,2013-08-17T19:17:18Z,6,1028,515,,,,,,RT @YABOYLILB live fast die young drink capri sun,3.68814E+17,Taelin Webb
http://twitter.com/krystletips289,http://twitter.com/krystletips289/statuses/368791443868901376,2013-08-17T17:48:26Z,3,117,381,,,GB,broadstairs / glasgow,,it's all fun and games until you realise your Capri sun hasn't got a straw,3.68791E+17,krystle reddin
http://twitter.com/connor_lockwood,http://twitter.com/Connor_Lockwood/statuses/368790807048097792,2013-08-17T17:45:54Z,4,300,583,,,GB,"Leeds,West Yorkshire,England",,RT @YABOYLILB live fast die young drink capri sun,3.68791E+17,Connor Lockwood!
http://twitter.com/oliviavald_xoxo,http://twitter.com/OliviaVald_xoxo/statuses/368790366725500928,2013-08-17T17:44:09Z,3,70,81,,,,,,This Capri Sun is so refreshing right now.. To dieee,3.6879E+17,Olivia Valderrama♡
http://twitter.com/tdawgteller,http://twitter.com/tdawgteller/statuses/368786716011679744,2013-08-17T17:29:39Z,5,650,349,,,US,"colleyville, texas",,RT @RyanFiorini The bank at Tom Thumb was giving out free chilled Capri Sun. Today is going to be a good day.,3.68787E+17,Trey Teller
http://twitter.com/ryanfiorini,http://twitter.com/RyanFiorini/statuses/368786531764289536,2013-08-17T17:28:55Z,4,174,152,,,,,,The bank at Tom Thumb was giving out free chilled Capri Sun. Today is going to be a good day.,3.68787E+17,Ryan Fiorini
http://twitter.com/sipmy_capri_sun,http://twitter.com/SipMy_Capri_Sun/statuses/368777783599587329,2013-08-17T16:54:09Z,5,499,508,,,,,,Talk heavy young RT @BitchesAintSh_t: @SipMy_Capri_Sun I ain't taking care of no kids that ain't come out my dick..I ain't one of them bulls,3.68778E+17,❤Ace❤
http://twitter.com/sipmy_capri_sun,http://twitter.com/SipMy_Capri_Sun/statuses/368770123114352640,2013-08-17T16:23:43Z,5,499,508,,,,,,Lol just til later RT @Sip_This_Capri: @SipMy_Capri_Sun lol ard imma let you be great for now,3.6877E+17,❤Ace❤
http://twitter.com/sipmy_capri_sun,http://twitter.com/SipMy_Capri_Sun/statuses/368769226892251138,2013-08-17T16:20:09Z,5,499,508,,,,,,@Sip_This_Capri let me be great,3.68769E+17,❤Ace❤
http://twitter.com/sipmy_capri_sun,http://twitter.com/SipMy_Capri_Sun/statuses/368766511717949440,2013-08-17T16:09:22Z,5,499,508,,,,,,👈Aint Wit The Drama Cuz Ima Happy Kinda Bitch 😉,3.68767E+17,❤Ace❤
http://twitter.com/fckitim_young,http://twitter.com/Fckitim_YOUNG/statuses/368751570927632384,2013-08-17T15:10:00Z,5,742,674,,,,narnia ,,RT @lKeepItReaI I think capri sun should make 2 liters. Those little juice pouches just don't cut it anymore.,3.68752E+17,ƒιηєѕѕєя ▲
http://twitter.com/sipmy_capri_sun,http://twitter.com/SipMy_Capri_Sun/statuses/368745586096238592,2013-08-17T14:46:13Z,5,499,508,,,,,,Good morning husband 😘💏❤ RT @slaughter_24: GoodMorning ❗❗,3.68746E+17,❤Ace❤
http://twitter.com/wolonator,http://twitter.com/WOLONATOR/statuses/368744131964583937,2013-08-17T14:40:26Z,7,2673,735,,,US,houston,,Capri sun is good but there's probably a reason y it comes in a small pouch....too much Capri sun could be nasty since it's just sugar water,3.68744E+17,charise
http://twitter.com/sipmy_capri_sun,http://twitter.com/SipMy_Capri_Sun/statuses/368734392040316928,2013-08-17T14:01:44Z,5,499,508,,,,,,RT @Heir2The_Throne We all had good intentions at one point....right?,3.68734E+17,❤Ace❤
http://twitter.com/mirandasackner,http://twitter.com/mirandasackner/statuses/368733895703134208,2013-08-17T13:59:46Z,5,410,317,,,,cinnaminson,,RT @TheAwkwardFun Its all fun and games until you realize your Capri Sun has no straw then shit gets real.,3.68734E+17,miranda
http://twitter.com/sipmy_capri_sun,http://twitter.com/SipMy_Capri_Sun/statuses/368730977012445184,2013-08-17T13:48:10Z,5,499,508,,,,,,😘😘😘RT @luvinmefirst23: “@SipMy_Capri_Sun: Show me a good time 😝”😁,3.68731E+17,❤Ace❤
http://twitter.com/sipmy_capri_sun,http://twitter.com/SipMy_Capri_Sun/statuses/368730526988767233,2013-08-17T13:46:22Z,5,499,508,,,,,,Show me a good time 😝,3.68731E+17,❤Ace❤
http://twitter.com/rachelpfist,http://twitter.com/rachelpfist/statuses/368673598635917313,2013-08-17T10:00:10Z,4,259,361,,,,,,Good thing my picture of me with a Capri sun gets more likes than you trying really hard in a selfie. #sorrynotsorry,3.68674E+17,Rachel Pfister
http://twitter.com/kimberly_ki_131,http://twitter.com/Kimberly_Ki_131/statuses/368673081318862848,2013-08-17T09:58:06Z,3,110,188,,,,,,It's all fun and games until you realize your Capri Sun has no straw  Then shit gets real,3.68673E+17,Kimberly King
http://twitter.com/carefreecrystal,http://twitter.com/CareFreeCrystal/statuses/368644850553741312,2013-08-17T08:05:56Z,5,614,476,,,US,"Bronx, NY",,RT @NFLovaHOES Shit good 😌RT @CareFreeCrystal: You're lying RT @NFLovaHOES: Filled my iv with Capri sun 😎 http://t.co/7r8E4regkS,3.68645E+17,crillacam
http://twitter.com/nflovahoes,http://twitter.com/NFLovaHOES/statuses/368643198899339265,2013-08-17T07:59:22Z,6,1229,968,,,US,"Bronx,NY",,Shit good 😌RT @CareFreeCrystal: You're lying RT @NFLovaHOES: Filled my iv with Capri sun 😎 http://t.co/7r8E4regkS,3.68643E+17,King Nonchalant
http://twitter.com/yun_3a_asperhei,http://twitter.com/yun_3a_asperhei/statuses/368632252571217920,2013-08-17T07:15:52Z,3,120,227,,,US,"Waldo village, OH, USA",,It's all fun and games until you realize your Capri Sun has no straw  Then shit gets real,3.68632E+17,Yun Asperheim
http://twitter.com/xoxoconner,http://twitter.com/xoxoConner/statuses/368620086674071552,2013-08-17T06:27:31Z,5,378,299,,,US,ATL ✈ IOWA,,RT @2Fresh4Tweets Capri sun good as hell but so small lol,3.6862E+17,connlocc
http://twitter.com/freakinmakaela,http://twitter.com/FreakinMakaela/statuses/368620069552545792,2013-08-17T06:27:27Z,6,1828,1678,,,US,NB TEXAS,,RT @2Fresh4Tweets Capri sun good as hell but so small lol,3.6862E+17,Makaela Revè Heard
http://twitter.com/2fresh4tweets,http://twitter.com/2Fresh4Tweets/statuses/368619737049079809,2013-08-17T06:26:08Z,7,4005,2396,,,US,"Des Moines , Iowa ✈",,Capri sun good as hell but so small lol,3.6862E+17,Quan™
http://twitter.com/racheleliz0224,http://twitter.com/racheleliz0224/statuses/368616385854709760,2013-08-17T06:12:49Z,4,275,317,,,US,"Dallas, Texas",,Live fast  die young  drink Capri sun,3.68616E+17,rachel weaver
http://twitter.com/freshestginger,http://twitter.com/freshestginger/statuses/368608784085557248,2013-08-17T05:42:37Z,6,2685,2060,,,US,Utah,,@OddMarc first of all: Rude. Second of all: Jumping jacks are NOT cool. *Takes a sip from Capri-Sun* *Adjusts fanny pack* I WOULD KNOW.,3.68609E+17,LL Cool Tay
http://twitter.com/_jas_michelle,http://twitter.com/_Jas_Michelle/statuses/368608429100646400,2013-08-17T05:41:12Z,6,2324,1937,,,,#teamUCA,,RT @SimplyyDollz just when a Capri sun starts to get good  it's gone. Lol.,3.68608E+17,Just Jas
http://twitter.com/aaronthedeuce,http://twitter.com/AaronTheDeuce/statuses/368608225576226816,2013-08-17T05:40:24Z,5,477,482,,,US,"Conway, AR",,"""@SimplyyDollz: just when a Capri sun starts to get good  it's gone. Lol."" #tragic http://t.co/Fj7TYZ2t4E",3.68608E+17,Sky-Blu
http://twitter.com/quezadabella1,http://twitter.com/quezadabella1/statuses/368607908478459904,2013-08-17T05:39:08Z,1,17,97,,,US,Port Charlotte,,RT @P2xFlashyFly_ You can not ! I repeat CAN NOT drink a Capri Sun slow.. That's shit taste toooo fcking good !,3.68608E+17,Bella Quezada
http://twitter.com/gorgeous__jay,http://twitter.com/Gorgeous__Jay/statuses/368607265781063680,2013-08-17T05:36:35Z,5,360,277,,,,,,RT @SimplyyDollz just when a Capri sun starts to get good  it's gone. Lol.,3.68607E+17,Sep-21
http://twitter.com/simplyydollz,http://twitter.com/SimplyyDollz/statuses/368607079625261056,2013-08-17T05:35:50Z,6,1109,584,,,US,"Conway, Arkansas",,just when a Capri sun starts to get good  it's gone. Lol.,3.68607E+17,De'Anna
http://twitter.com/nooner10,http://twitter.com/Nooner10/statuses/368602211976110080,2013-08-17T05:16:30Z,3,85,262,,,,Jersey,,@Capriceuttie Capri sun was the shit. Great juice,3.68602E+17,nooner10
http://twitter.com/sipmy_capri_sun,http://twitter.com/SipMy_Capri_Sun/statuses/368585707389874176,2013-08-17T04:10:55Z,5,499,508,,,,,,😂😂😂😂RT @lilmaaly20st: “@SipMy_Capri_Sun: all I need is some act right & I'll be good 😜🙈”u spelled CATT wrong,3.68586E+17,❤Ace❤
http://twitter.com/isaacsmith1120,http://twitter.com/isaacsmith1120/statuses/368585442406318080,2013-08-17T04:09:52Z,0,4,19,,,,,,I couldn't be a good murderer... I can't even stab my Capri sun.,3.68585E+17,Isaac
http://twitter.com/sipmy_capri_sun,http://twitter.com/SipMy_Capri_Sun/statuses/368585111656079360,2013-08-17T04:08:33Z,5,499,508,,,,,,all I need is some act right & I'll be good 😜🙈,3.68585E+17,❤Ace❤
http://twitter.com/_this_is_devin,http://twitter.com/_This_is_Devin/statuses/368581797421920256,2013-08-17T03:55:23Z,5,317,189,,,,,,@Clint24C idk you'd have to ask Rose. But I think she prefers alcoholic drinks. So add vodka to the Capri Sun and youre good,3.68582E+17,Devin Marino
http://twitter.com/kiraschwartz,http://twitter.com/kiraschwartz/statuses/368572648114368512,2013-08-17T03:19:01Z,4,179,260,,,,That Ratchet City Ninevah,,RT @YABOYLILB live fast die young drink capri sun,3.68573E+17,Kira
http://twitter.com/_most_dope_bro,http://twitter.com/_most_dope_bro/statuses/368564797538709504,2013-08-17T02:47:49Z,5,694,1433,,,,woonsocket,,Dubstep and capri sun is a good ending to a night,3.68565E+17,Em
http://twitter.com/jhgilbert3,http://twitter.com/jhgilbert3/statuses/368556472201785345,2013-08-17T02:14:45Z,4,134,130,,,US,Deptford NJ,,Kickin it old skool  drinking a Capri sun watching good burger,3.68556E+17,John Gilbert
http://twitter.com/deemazing__,http://twitter.com/deemazing__/statuses/368555476482400256,2013-08-17T02:10:47Z,5,403,200,,,CA,paradise ✡,,RT @DannyTanner live fast die young drink capri sun,3.68555E+17,☮
http://twitter.com/captivateothers,http://twitter.com/captivateothers/statuses/368540439659286528,2013-08-17T01:11:02Z,5,282,161,,,,,,RT @savittj cool how it takes 10 seconds to talk to someone on the other side of the world and 6 years to put a straw in a capri sun,3.6854E+17,Bianca Pastrana
http://twitter.com/destinyperry16,http://twitter.com/destinyperry16/statuses/368530085537529857,2013-08-17T00:29:54Z,3,64,120,,,,,,live fast die young drink capri sun,3.6853E+17,
http://twitter.com/chandlerhackney,http://twitter.com/ChandlerHackney/statuses/368528287447805952,2013-08-17T00:22:45Z,5,341,486,,,US,"denton, tx",,RT @savittj cool how it takes 10 seconds to talk to someone on the other side of the world and 6 years to put a straw in a capri sun,3.68528E+17,Chandler Hackney
