Search Results,"(""capri-sun"" OR ""capri sun"") AND (""quality"" OR ""genuine"" OR ""authentic"" OR ""sophisticated"" OR ""novel"" OR ""young"" OR ""refreshing"" OR ""cool"" OR ""comforting"" OR ""relaxing"" OR ""fun"" OR ""good"" OR ""great"" OR ""tasty"" OR ""inspirational"" OR ""optimistic"" OR ""happy"" OR ""confident"" OR ""cynical"" OR ""ambitious"" OR ""selfish"" OR ""superstitious"" OR ""practical"" OR ""creative"" OR ""emotional"" OR ""stylish"" OR ""impulsive"" OR ""political"" OR ""responsible"" OR ""spiritual"") between 20-Mar-2013 and 18-Sep-2013 language=English in Twitter",19800 total results,Showing from 1 to 15000,,,,,,,,,,
,,,,,,,,,,,,,
host,link,time,auth,follower,following,age,gender,country,location,sentiment,contents,uniqueid,authname
http://twitter.com/__bitemylips,http://twitter.com/__BiteMyLips/statuses/380089740080709632,2013-09-17T22:03:50Z,6,729,449,,,,,,Capri sun fruit punch is so good why do they gotta be so small,3.8009E+17,Brace Face :D
http://twitter.com/breannamaex3,http://twitter.com/breannamaex3/statuses/380087059714551808,2013-09-17T21:53:11Z,4,167,195,,,US,California,,Capri Sun after school is just great  haha.,3.80087E+17,Bree.
http://twitter.com/sigggnasty,http://twitter.com/sigggnasty/statuses/380085750559436800,2013-09-17T21:47:59Z,4,314,394,,,US,New York,,"@SHiTnYmph for a sec I read ""Capri Sun jello shots"" which is such a good idea",3.80086E+17,Siggy Pop
http://twitter.com/sipmy_capri_sun,http://twitter.com/SipMy_Capri_Sun/statuses/380085450545053696,2013-09-17T21:46:47Z,5,499,508,,,,,,@Respect_da_real I'm cool I fucked my leg and chin up tho and it happened on the expressway,3.80085E+17,❤Ace❤
http://twitter.com/kane_mckenna,http://twitter.com/Kane_McKenna/statuses/380084518633603072,2013-09-17T21:43:05Z,3,141,182,,,,Barvensoe Hill,,@eviejacksonxo a Capri sun!?!? Evie you're too good to me!!,3.80085E+17,Kane McKenna
http://twitter.com/rileyhutson,http://twitter.com/rileyhutson/statuses/380083411551256576,2013-09-17T21:38:41Z,4,346,228,,,,,,Im on that good food and Capri sun,3.80083E+17,Riley Hutson
http://twitter.com/richvoltz,http://twitter.com/RichVoltz/statuses/380083335352954882,2013-09-17T21:38:23Z,4,249,254,,,US,"Myrtle Beach, SC",,Capri sun would not be as good if it came in larger packages,3.80083E+17,Richard Voltz
http://twitter.com/wee_melzo,http://twitter.com/wee_melzo/statuses/380080381284081665,2013-09-17T21:26:39Z,5,759,1954,,,GB,Belfast Northern Ireland,,it's all fun and games until you realise your Capri sun hasn't got a straw...,3.8008E+17,Melissa Orr
http://twitter.com/bugg_carolyn,http://twitter.com/bugg_carolyn/statuses/380073734264344576,2013-09-17T21:00:14Z,3,83,134,,,US,Houston,,Mom got a giant thing of Capri Sun  do you know how happy I am right now?!,3.80074E+17,Carolyn Bugg
http://twitter.com/se2lhini,http://twitter.com/Se2LHini/statuses/380055532016787456,2013-09-17T19:47:54Z,3,68,237,,,,,,"RT @Rii_Tweets_ ""@r__daawg: welcome to the friend zone. it’s a zone for friends. hang out  have fun  grab a capri sun. there’s trampolines and a ball pit.""",3.80056E+17,Se2
http://twitter.com/rii_tweets_,http://twitter.com/Rii_Tweets_/statuses/380054811947065344,2013-09-17T19:45:02Z,4,251,206,,,,The pyramids.,,"""@r__daawg: welcome to the friend zone. it’s a zone for friends. hang out  have fun  grab a capri sun. there’s trampolines and a ball pit.""",3.80055E+17,Ra-eesah
http://twitter.com/tigersjvw,http://twitter.com/tigersjvw/statuses/380049354922668033,2013-09-17T19:23:21Z,5,348,270,,,,crazy stuff happens in nowhere,,RT @NouxNoux It's all fun and games until you realize your capri sun has no straw.,3.80049E+17,lil ma
http://twitter.com/sipmy_capri_sun,http://twitter.com/SipMy_Capri_Sun/statuses/380046775358607360,2013-09-17T19:13:06Z,5,499,508,,,,,,RT @justcallmefats Good things come to those who hustle fuck wait,3.80047E+17,❤Ace❤
http://twitter.com/nouxnoux,http://twitter.com/NouxNoux/statuses/380041758920691712,2013-09-17T18:53:10Z,6,1020,126,,,,"ÜT: 52.059894,4.238823",,It's all fun and games until you realize your capri sun has no straw.,3.80042E+17,Anouk Walther
http://twitter.com/anthonyswhore,http://twitter.com/anthonyswhore/statuses/380038504077856768,2013-09-17T18:40:14Z,5,904,950,,,,,,I'm drinking a Capri sun I'm so happy 😂😊,3.80039E+17,LOHEMILY
http://twitter.com/sipmy_capri_sun,http://twitter.com/SipMy_Capri_Sun/statuses/380021813402939392,2013-09-17T17:33:55Z,5,499,508,,,,,,“@corion7st: like wassup wit ya best friend  we can all have sum fun believe me”👀,3.80022E+17,❤Ace❤
http://twitter.com/sipmy_capri_sun,http://twitter.com/SipMy_Capri_Sun/statuses/380018636582572032,2013-09-17T17:21:18Z,5,499,508,,,,,,“@Weez_17st: I eat pussy too good to be Single or wateva”👀,3.80019E+17,❤Ace❤
http://twitter.com/brittsthashxt,http://twitter.com/BrittsThaShxt/statuses/380001514506301440,2013-09-17T16:13:15Z,4,183,173,,,,,,I made him a peanut butter jelly and gave him a fruit cup  granola bar  and gold fish plus a Capri-sun. I did good.,3.80002E+17,B-Rizzle
http://twitter.com/calvertsophie,http://twitter.com/CalvertSophie/statuses/379997915403788289,2013-09-17T15:58:57Z,4,194,231,,,GB,United kingdom,,Having to defrost a Capri sun with my hair dryer as my brother thought it would be a good idea to freeze them all,3.79998E+17,soph calvert
http://twitter.com/hellotelly,http://twitter.com/hellotelly/statuses/379997009073016832,2013-09-17T15:55:21Z,3,72,89,,,,Urbem Angeli,,RT @MattBeem2 CAPRI SUN MAKES ME HAPPY,3.79997E+17,Claire
http://twitter.com/abourquein,http://twitter.com/ABourquein/statuses/379991176511643648,2013-09-17T15:32:11Z,3,94,191,,,,,,RT @JacksonCotney I want Capri sun in the little pouch right now  just like the good old days 🍍🍆🍉🍇🍬🍊🍎🍐🌽#kindergarten,3.79991E+17,Alyssa Bourquein
http://twitter.com/jacksoncotney,http://twitter.com/JacksonCotney/statuses/379988740124733440,2013-09-17T15:22:30Z,5,555,1954,,,,,,I want Capri sun in the little pouch right now  just like the good old days 🍍🍆🍉🍇🍬🍊🍎🍐🌽#kindergarten,3.79989E+17,Jackson Cotney
http://twitter.com/erylmasters,http://twitter.com/ErylMasters/statuses/379988557563064320,2013-09-17T15:21:46Z,3,149,161,,,,,,RT @MattBeem2 CAPRI SUN MAKES ME HAPPY,3.79989E+17,Eryl Masters
http://twitter.com/nfleclerc,http://twitter.com/nfleclerc/statuses/379984237346443264,2013-09-17T15:04:36Z,3,63,27,,,US,"Cleveland, baby.",,RT @MattBeem2 CAPRI SUN MAKES ME HAPPY,3.79984E+17,Nate Leclerc
http://twitter.com/chance_thebear,http://twitter.com/Chance_TheBear/statuses/379982655271731200,2013-09-17T14:58:19Z,4,166,290,,,US,Traverse City. MI,,RT @MattBeem2 CAPRI SUN MAKES ME HAPPY,3.79983E+17,Chance Murphy
http://twitter.com/calebharris9,http://twitter.com/CalebHarris9/statuses/379971598448463873,2013-09-17T14:14:23Z,5,654,493,,,,,,RT @MattBeem2 CAPRI SUN MAKES ME HAPPY,3.79972E+17,Caleß◇Harris
http://twitter.com/mattbeem2,http://twitter.com/MattBeem2/statuses/379958821147250688,2013-09-17T13:23:36Z,3,128,117,,,US,"TCMI - Cleveland, OH",,CAPRI SUN MAKES ME HAPPY,3.79959E+17,Matt Beem
http://twitter.com/ruth05,http://twitter.com/Ruth05/statuses/379951769507618816,2013-09-17T12:55:35Z,5,305,243,,,,Watford,,I had a dream last night that someone gave me a Capri Sun voucher for my birthday and I was so happy then I woke up,3.79952E+17,Ruth Middlehurst
http://twitter.com/ceighyt,http://twitter.com/Ceighyt/statuses/379928904640643072,2013-09-17T11:24:44Z,0,,,,,,"Halton Region, Ontario, Canada",,Chicken nugget TV dinner. Capri Sun. Oz the great and powerful. #life #yay,3.79929E+17,
http://twitter.com/worshiptheking_,http://twitter.com/Worshiptheking_/statuses/379924924368175104,2013-09-17T11:08:55Z,6,938,66,,,,"мιαмι , fℓσяιdα",,I'm such a good ass friend. My baby Dereka has a headache and I'm taking her pills and a big bag of chips with a Capri sun 😘,3.79925E+17,Rσвєят
http://twitter.com/sipmy_capri_sun,http://twitter.com/SipMy_Capri_Sun/statuses/379922859013189632,2013-09-17T11:00:42Z,5,499,508,,,,,,Good morning Buck ☺👋 “@DabulNeef: Gm y'all”,3.79923E+17,❤Ace❤
http://twitter.com/virginweedbaby,http://twitter.com/virginweedbaby/statuses/379917558318895104,2013-09-17T10:39:39Z,4,180,114,,,GB,london,,weetos and capri sun make me happy http://t.co/Cm8S18Y78T,3.79918E+17,~
http://twitter.com/ndumhorcwyg,http://twitter.com/ndumhorcwyg/statuses/379909986832248832,2013-09-17T10:09:33Z,0,8,19,,,,,,Chicken nugget TV dinner. Capri Sun. Oz the great and powerful. #life #yay,3.7991E+17,Adel
http://twitter.com/faye_nds,http://twitter.com/faye_nds/statuses/379894025706143744,2013-09-17T09:06:08Z,4,150,142,,,IT,"Merano, Italy",,Can I be an adult with none of the responsibilities? Cool thanks *sips a Capri-Sun*,3.79894E+17,Faye NDS
http://twitter.com/crissyy_xo,http://twitter.com/crissyy_xo/statuses/379869397407772672,2013-09-17T07:28:16Z,5,555,236,,,US,"Port St. Lucie, Florida",,It's all fun & games until you realize your Capri Sun has no straw then shit gets real..,3.79869E+17,Crissy Elaine
http://twitter.com/ambitious_rome,http://twitter.com/Ambitious_Rome/statuses/379851747864236034,2013-09-17T06:18:08Z,6,1289,1249,,,US,"Friend Zone, FL",,Tryna squeeze the Booty like a Capri sun..,3.79852E+17,LifeWithRome
http://twitter.com/sipmy_capri_sun,http://twitter.com/SipMy_Capri_Sun/statuses/379839840713707521,2013-09-17T05:30:49Z,5,499,508,,,,,,RT @ReemBean1 jus cus they think they no who i mess wit they still dnt kno my business gotta keep the good shit to a limit bitchz be fishn😩😂😂😂😩,3.7984E+17,❤Ace❤
http://twitter.com/horanswagg,http://twitter.com/HoranSwagg/statuses/379837468847009792,2013-09-17T05:21:24Z,5,374,329,,,US,LA,,RT @momowrnr Its all fun and games until you realize your Capri Sun has no straw then shit gets real.,3.79837E+17,bye.
http://twitter.com/janetrangel,http://twitter.com/janetrangel/statuses/379835225619976192,2013-09-17T05:12:29Z,5,424,655,,,US,"Los Angeles, California",,RT @momowrnr Its all fun and games until you realize your Capri Sun has no straw then shit gets real.,3.79835E+17,Janet Rangel
http://twitter.com/momowrnr,http://twitter.com/momowrnr/statuses/379835073584852992,2013-09-17T05:11:53Z,4,215,530,,,US,california,,Its all fun and games until you realize your Capri Sun has no straw then shit gets real.,3.79835E+17,Monique Warner
http://twitter.com/soarhaunt,http://twitter.com/SoaRHaunt/statuses/379828866010738689,2013-09-17T04:47:13Z,8,7081,107,,,,colroadoa,,@HVZZY yea it's hot but I got beast Capri sun to cool off my mouth,3.79829E+17,Kody (SOAR HAUNT)
http://twitter.com/gudgirlbadways,http://twitter.com/GudGirlBADways/statuses/379828330000031744,2013-09-17T04:45:05Z,6,1036,1033,,,,LOADING ....,,RT @Lovenauti_: The cherry Capri sun is so good lol.,3.79828E+17,Riah ✝
